Start URL,Category,Product,Unit,Price,Slash Price,Details Link
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Rapaura Marlborough Sauvignon Blanc,750 ml,RM 77.99,RM 99.90,https://myaeon2go.com/product/51158/rapaura-marlborough-sauvignon-blanc-750-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Calvet Chateau Saint Germain,750 ml,RM 92.90,RM 111.50,https://myaeon2go.com/product/51152/calvet-chateau-saint-germain-750-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Calvet Cabernet Sauvignon,750 ml,RM 69.99,RM 89.90,https://myaeon2go.com/product/51147/calvet-cabernet-sauvignon-750-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Karakuchi Tsu No Sake,1800 ml,RM 110.00,RM 119.90,https://myaeon2go.com/product/51146/karakuchi-tsu-no-sake-1800-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Roku Gin,750 ml,RM 239.00,RM 266.05,https://myaeon2go.com/product/49491/roku-gin-750-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Martell XO Supreme,700 ml,"RM 1,099.00","RM 1,259.00",https://myaeon2go.com/product/45276/martell-xo-supreme-700-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Marquis De Beychac Vin De France Merlot,750 ml,RM 49.90,RM 64.70,https://myaeon2go.com/product/45266/marquis-de-beychac-vin-de-france-merlot-750-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Maison Castel Igp Cabernet Sauvignon,750 ml,RM 62.90,RM 70.00,https://myaeon2go.com/product/45260/maison-castel-igp-cabernet-sauvignon-750-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Heineken Beer Can Carton,6 x 4 x 320 ml,RM 199.00,RM 219.70,https://myaeon2go.com/product/45220/heineken-beer-can-carton-6-x-4-x-320-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Guinness Stout Can,6 x 4 x 320 ml,RM 185.00,RM 192.00,https://myaeon2go.com/product/45218/guinness-stout-can-6-x-4-x-320-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Lotte Chumchurum Apple,360 ml,RM 15.50,RM 19.90,https://myaeon2go.com/product/45213/lotte-chum-churum-apple-360-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Somersby Apple Cider Can,6 x 4 x 320 ml,RM 172.30,,https://myaeon2go.com/product/23937/somersby-apple-cider-can-6-x-4-x-320-ml
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Jinro Peach,360 ml,RM 17.90,RM 19.20,https://myaeon2go.com/product/32901/peach
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Kunizakari Rose Umeshu 9%,300 ml,RM 56.30,,https://myaeon2go.com/product/31206/rose-umeshu-9%25
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Edelweiss Sleek Can,4 x 320 ml,RM 31.99,RM 39.90,https://myaeon2go.com/product/24490/sleek-can
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Penfolds Koonunga Hill Cabernet Sauvignon,750 ml,RM 84.90,RM 100.00,https://myaeon2go.com/product/408/koonunga-hill-cabernet-sauvignon
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Monterrey Tequila,750 ml,RM 39.00,RM 45.00,https://myaeon2go.com/product/405/tequila
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Lindeman's Bin 95 Sauvignon Blanc,750 ml,RM 66.90,RM 72.90,https://myaeon2go.com/product/394/bin-95-sauvignon-blanc
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Kizakura Karakuchi,1.8 liter,RM 105.00,RM 111.30,https://myaeon2go.com/product/383/karakuchi
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Jinro Grapefruit Soju,360 ml,RM 17.90,RM 19.20,https://myaeon2go.com/product/381/grapefruit-soju
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Somersby Blackberry Cider Can,4 x 320 ml,RM 29.99,,https://myaeon2go.com/product/9009/blackberry-cider-can
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Good Day Pineapple Soju,360 ml,RM 16.90,RM 19.30,https://myaeon2go.com/product/28389/pineapple-soju
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Jacob's Creek Riesling,750 ml,RM 81.30,,https://myaeon2go.com/product/24890/riesling
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Martell Noblige Limited Edition,700 ml,RM 429.00,RM 485.70,https://myaeon2go.com/product/25311/noblige-limited-edition
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Jacob's Creek Shiraz,750 ml,RM 81.30,,https://myaeon2go.com/product/24919/shiraz
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Connor's Stout Can,24 x 320 ml,RM 191.50,,https://myaeon2go.com/product/24918/stout-can
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Jacob's Creek Cabernet Sauvignon,750 ml,RM 81.30,,https://myaeon2go.com/product/24896/cabernet-sauvignon
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Chivas Regal 12 Years Premium Pack,700 ml,RM 299.00,RM 370.00,https://myaeon2go.com/product/24874/regal-12-years-premium-pack
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Jacob's Creek Shiraz Rose,750 ml,RM 81.30,,https://myaeon2go.com/product/24873/shiraz-rose
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Kronenbourg 1664 Blanc Can Rose,24 x 320 ml,RM 220.00,,https://myaeon2go.com/product/24872/blanc-can-rose
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Jacob's Creek Moscato Blanc,750 ml,RM 81.30,,https://myaeon2go.com/product/24870/moscato-blanc
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Jacob's Creek Shiraz Cabernet,750 ml,RM 81.30,,https://myaeon2go.com/product/24863/shiraz-cabernet
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Good Day Pomegranate Soju,360 ml,RM 16.90,RM 19.30,https://myaeon2go.com/product/28256/pomegranate-soju
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Good Day Melon Soju,360 ml,RM 16.90,RM 19.30,https://myaeon2go.com/product/28261/melon-soju
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Yellow Tail Sweet Red Roo Gift Pack,2 x 750 ml,RM 145.00,RM 162.70,https://myaeon2go.com/product/24770/sweet-red-roo-gift-pack
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Yellow Tail Merlot Gift Pack,2 x 750 ml,RM 145.00,RM 162.70,https://myaeon2go.com/product/24767/merlot-gift-pack
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Yellow Tail Pinot Noir Gift Pack,2 x 750 ml,RM 145.00,RM 162.70,https://myaeon2go.com/product/24764/pinot-noir-gift-pack
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Yellow Tail Big Bold Red Gift Pack,2 x 750 ml,RM 145.00,RM 162.70,https://myaeon2go.com/product/24763/big-bold-red-gift-pack
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Hwa Yo Soju 41 Proof,500 ml,RM 117.00,RM 137.50,https://myaeon2go.com/product/24588/soju-41-proof
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Ozeki Kanjuki Umeshu Ume Miri,700 ml,RM 99.90,RM 103.00,https://myaeon2go.com/product/24564/kanjuki-umeshu-ume-miri
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Kurokoji Takachiho White Label 25%,900 ml,RM 139.60,,https://myaeon2go.com/product/31103/takachiho-white-label-25%25
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Shirakawago Junmai Ginjo Sasanigori Sake,720 ml,RM 132.00,,https://myaeon2go.com/product/31144/junmai-ginjo-sasanigori-sake
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Hyougo Otokoyama,300 ml,RM 41.00,,https://myaeon2go.com/product/31159/otokoyama
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Satsuma Shimabijin,900 ml,RM 148.50,,https://myaeon2go.com/product/31193/shimabijin
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Aroma Umeshu 12%,720 ml,RM 113.70,,https://myaeon2go.com/product/31217/umeshu-12%25
https://myaeon2go.com/products/category/1772337/alcohol/pages/1-3,Alcohol,Zuiyo Honjun Junmaishu Sake,720 ml,RM 113.60,,https://myaeon2go.com/product/31222/honjun-junmaishu-sake
