Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bathroom Roll,Royal Gold Elegant Toilet Roll 190pcs x 24,190pcs x 24,26.89,32.90,6.01,18.30,,"<a href=""https://jgsj.jayagrocer.com/products/royal-gold-elegant-toilet-roll-190s-x-24roll?variant=43610206372007"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Royal Gold Elegant Toilet Tissue 200pcs x 16,200pcs x 16,23.49,28.90,5.41,18.70,,"<a href=""https://jgsj.jayagrocer.com/products/royal-gold-elegant-toilet-tissue-roll-200pcs-x-16?variant=44796033040551"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Royal Gold Luxurios Toilet Roll 200pcs x 20,200pcs x 20,25.99,30.90,4.91,15.90,,"<a href=""https://jgsj.jayagrocer.com/products/royal-gold-quilted-bathroom-tissues-value-pack-3-ply-20roll-1?variant=41611879350439"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Royal Gold Luxurious Interleaf Bathroom Tissues 200pcs x 10,200pcs x 10,19.50,,,,,"<a href=""https://jgsj.jayagrocer.com/products/royal-gold-luxurious-interleaf-bathroom-tissues-200sheets-x-11?variant=41612196610215"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Royal Gold Signature Toilet Roll 4ply 10rolls,,19.99,27.50,7.51,27.30,,"<a href=""https://jgsj.jayagrocer.com/products/royal-gold-signature-toilet-roll-4ply-10rolls?variant=47653988466855"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Royal Gold Toilet Tissue (Wrap) 210pcs x 10,210pcs x 10,19.50,,,,,"<a href=""https://jgsj.jayagrocer.com/products/royal-gold-toilet-tissue-wrap-210pcs-x-10?variant=47129048187047"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Scott Extra Regular Toilet Roll 180sheet x 20,,19.90,22.20,2.30,10.40,,"<a href=""https://jgsj.jayagrocer.com/products/scott-extra-soft-bath-tissue-paper-180sheets-x-21?variant=41612195725479"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Vinda Deluxe 3Ply Bathroom Tissue 250pcs x 24,250pcs x 24,44.35,,,,,"<a href=""https://jgsj.jayagrocer.com/products/vinda-deluxe-3ply-bathroom-tissue-250pcs-x-24?variant=46721322418343"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Vinda Deluxe 3Ply Bathroom Tissue Deco 200pcs x 8,200pcs x 8,24.45,,,,,"<a href=""https://jgsj.jayagrocer.com/products/vinda-deluxe-3d-deco-toilet-tissue-8rolls-1?variant=41612372181159"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
Bathroom Roll,Vinda Deluxe Prestige Toilet Rolls-3ply 200pcs x 16,200pcs x 16,35.95,,,,,"<a href=""https://jgsj.jayagrocer.com/products/vinda-deluxe-smooth-feel-toilet-rolls-3ply-200pcs-x-16?variant=43328771719335"" target=""_blank"">Link</a>","<a href=""https://jgsj.jayagrocer.com/collections/bathroom-roll"" target=""_blank"">Start URL</a>"
