Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Details Link,Start URL
Groceries,Daisy Seri Kaya 480G,480 g,8.05,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/daisy-seri-kaya-480g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=80"" target=""_blank"">Start URL</a>"
Groceries,Dancing Chef Indonesia Curry Paste 100Gm,100 g,8.80,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/dancing-chef-indonesia-curry-paste-100gm"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=42"" target=""_blank"">Start URL</a>"
Groceries,Dancing Chef Pineapple Rice Paste 100Gm,100 g,8.80,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/dancing-chef-pineapple-rice-paste-100gm"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=42"" target=""_blank"">Start URL</a>"
Groceries,Dancing Chef Red Curry Paste 100Gm,100 g,8.80,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/dancing-chef-red-curry-paste-100gm"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=42"" target=""_blank"">Start URL</a>"
Groceries,Dancing Chef Sweet And Sour Sauce 100Gm,100 g,8.80,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/dancing-chef-sweet-and-sour-sauce-100gm"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=42"" target=""_blank"">Start URL</a>"
Groceries,Del Monte Tomato Ketchup 340G,340 g,5.20,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/del-monte-tomato-ketchup-340g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=15"" target=""_blank"">Start URL</a>"
Groceries,Delfi Choco Hazelnut & Milk Spread 350G,350 g,18.60,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/delfi-choco-hazelnut-milk-spread-350g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=73"" target=""_blank"">Start URL</a>"
Groceries,Delfi Choco Hazelnut Spread 350G,350 g,18.60,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/delfi-choco-hazelnut-spread-350g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=26"" target=""_blank"">Start URL</a>"
Groceries,Delfi Chocolate Syrup 350Ml,350 ml,14.85,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/delfi-chocolate-syrup-350ml"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=42"" target=""_blank"">Start URL</a>"
Groceries,Delfi Double Hazelnut Spread 350G,350 g,18.60,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/delfi-double-hazelnut-spread-350g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=26"" target=""_blank"">Start URL</a>"
Groceries,Delfi Rich Choco Spread 350G,350 g,18.60,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/delfi-rich-choco-spread-350g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=26"" target=""_blank"">Start URL</a>"
Groceries,Delfi Unsweetened Cocoa Powder 180Gm,180 g,17.65,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/delfi-unsweetened-cocoa-powder-180gm"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=58"" target=""_blank"">Start URL</a>"
Groceries,Delimas Tumisan Rendang 120G,120 g,4.85,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/delimas-tumisan-rendang-120g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=66"" target=""_blank"">Start URL</a>"
Groceries,Delimas Tumisan Sambal Tumis 120G,120 g,4.85,,,,"<a href=""https://vgg.bites.com.my/collections/groceries/products/delimas-tumisan-sambal-tumis-120g"" target=""_blank"">Details</a>","<a href=""https://vgg.bites.com.my/collections/groceries?page=65"" target=""_blank"">Start URL</a>"
