Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Details Link,Start URL
Bakery,Gardenia Toastem Choco Raisin,,5.50,,,,,"<a href=""https://www.lotuss.com.my/en/product/delicia-choco-raisin-3354016"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Toastem Waffles - Blueberry,,1.60,,,,,"<a href=""https://www.lotuss.com.my/en/product/breakfast-toaster-waffles-blueberry-71290435"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Twiggies - Choc-A-Lot,,2.20,,,,,"<a href=""https://www.lotuss.com.my/en/product/twiggies-choc-a-lot-905909"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Twiggies - Tiramisu,,2.20,,,,,"<a href=""https://www.lotuss.com.my/en/product/twiggies-tiramisu-71470794"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Twiggies Peanut Butter Bounce,76 g,2.20,,,,,"<a href=""https://www.lotuss.com.my/en/product/twiggies-peanut-butter-bounce-76g-74247085"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Gardenia Wholegrain With Sunflower Seeds,400 g,4.00,,,,,"<a href=""https://www.lotuss.com.my/en/product/gardenia-wholemeal-bread-10723"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Japanese Chic Dumpling,,5.98,7.20,1.22,16.90,,"<a href=""https://www.lotuss.com.my/en/product/75123949"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Japanese Chive Dumpling,,5.98,7.20,1.22,16.90,,"<a href=""https://www.lotuss.com.my/en/product/75123950"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Japanese Prawn Dumpling,,6.68,7.85,1.17,14.90,,"<a href=""https://www.lotuss.com.my/en/product/75123948"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Kawan Corn Cheese Cutlets,500 g,31.30,,,,,"<a href=""https://www.lotuss.com.my/en/product/75110062"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Kawan Mozzarella Cheese Sticks,500 g,33.40,,,,,"<a href=""https://www.lotuss.com.my/en/product/75110061"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Kg 7.5 S/Roll Pastry 50S,500 g,4.88,6.99,2.11,30.20,,"<a href=""https://www.lotuss.com.my/en/product/75128136"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Kg 8.5 S/Roll Pastry 40S,500 g,4.88,6.99,2.11,30.20,,"<a href=""https://www.lotuss.com.my/en/product/75128137"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,L/Z R/P Ori 5's W Dhall,,8.00,,,,,"<a href=""https://www.lotuss.com.my/en/product/75128656"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Loti Curry Chicken Bun (0537) 4pcs,4 pcs,9.49,,,,2.37,"<a href=""https://www.lotuss.com.my/en/product/75190070"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Baby Bun,,4.49,,,,,"<a href=""https://www.lotuss.com.my/en/product/baby-buns-74754521"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Banana Cake,,9.39,,,,,"<a href=""https://www.lotuss.com.my/en/product/banana-cake-74439308"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Belgium Chocolate Cake,,6.99,,,,,"<a href=""https://www.lotuss.com.my/en/product/75160254"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Burger Bun 10pcs,10 pcs,5.29,,,,0.53,"<a href=""https://www.lotuss.com.my/en/product/burger-bun-10s-74794949"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Burger Bun 5pcs,5 pcs,2.79,,,,0.56,"<a href=""https://www.lotuss.com.my/en/product/burger-bun-5s-74520180"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Chicken Sausage 4S(0297) N,,9.49,,,,,"<a href=""https://www.lotuss.com.my/en/product/75048736"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Chocolate Cake,400 g,11.59,,,,,"<a href=""https://www.lotuss.com.my/en/product/chocolate-cake-400g-74843613"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Chocolate Cupcake 4pcs,4 pcs,4.99,,,,1.25,"<a href=""https://www.lotuss.com.my/en/product/chocolate-cupcake-4s-74597388"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
Bakery,Lotuss Croissant 4pcs,4 pcs,6.99,,,,1.75,"<a href=""https://www.lotuss.com.my/en/product/croissant-4s-74520164"" target=""_blank"">Details</a>","<a href=""https://www.lotuss.com.my/en/category/bakery"" target=""_blank"">Start URL</a>"
