Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Details Link,Start URL
Beverages,Ahmad Tea Eng.Breakfast 100S,100 pcs,21.49,22.50,1.01,4.50,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-eng-breakfast-100s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Fruit Tea Selection 20Tb,,13.69,15.60,1.91,12.20,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-fruit-tea-selection-20tb,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Green Tea 100S,100 pcs,21.49,22.50,1.01,4.50,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-green-tea-100s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Green Tea 100Tb+Kew Gardens Afternoon,,21.40,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-green-tea-100tb-kew-gardens-afternoon,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Green Tea Pure 20X40G,20 x 40 g,11.99,12.90,0.91,7.10,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-green-tea-pure-20x40g,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Jasmine Green Tea 100S,100 pcs,21.49,23.65,2.16,9.10,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-jasmine-green-tea-100s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Jasmine Romance 20X40G,20 x 40 g,11.99,13.20,1.21,9.20,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-jasmine-romance-20x40g,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Lemon&Ginger 20S,20 pcs,11.99,13.00,1.01,7.80,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-lemon-ginger-20s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Lemon&Lime 20X40G,20 x 40 g,12.99,14.15,1.16,8.20,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-lemon-lime-20x40g,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea London Blend 100Tb,,16.30,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-london-blend-100tb,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea London Blend 25Tb,,5.95,,,,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-london-blend-25tb,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Mango 20X40G,20 x 40 g,12.99,14.15,1.16,8.20,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-mango-20x40g,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Peach&Passion 20X40G,20 x 40 g,12.99,14.15,1.16,8.20,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-peach-passion-20x40g,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Peppermint&Lemon 20S,20 pcs,11.99,13.00,1.01,7.80,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-peppermint-lemon-20s,https://vgg.bites.com.my/collections/beverages
Beverages,Ahmad Tea Rooibos&Cinnamon 20S,20 pcs,11.99,13.00,1.01,7.80,https://vgg.bites.com.my/collections/beverages/products/ahmad-tea-rooibos-cinnamon-20s,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong Chocolate Cafe Art 12X40G,12 x 40 g,15.90,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-chocolate-cafe-art-12x40g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong Chocolate Kosong Cafe Art 12x38G,12 x 38 g,15.90,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-chocolate-kosong-cafe-art-12sx38g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong Chocolate Mint Cafe Art 12x38G,12 x 38 g,15.90,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-chocolate-mint-cafe-art-12sx38g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong Kopi-O Bag 12X18G,12 x 18 g,11.60,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-kopi-o-bag-12x18g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong Kopi-O Bag 20X10G,20 x 10 g,11.60,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-kopi-o-bag-20x10g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong Kopi-O Bag 2In1 20x15G,20 x 15 g,14.50,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-kopi-o-bag-2in1-20sx15g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong Kopi-O Bag Plus 15X14G,15 x 14 g,11.60,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-kopi-o-bag-plus-15x14g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong Matcha Cafe Art 12X25G,12 x 25 g,15.80,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-matcha-cafe-art-12x25g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong White Coffee Hazelnut 12X38G,12 x 38 g,15.90,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-white-coffee-hazelnut-12x38g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong White Coffee Kosong 12X30G,12 x 30 g,15.90,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-white-coffee-kosong-12x30g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong White Coffee Less Sweet 12X38G,12 x 38 g,15.90,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-white-coffee-less-sweet-12x38g,https://vgg.bites.com.my/collections/beverages
Beverages,Aik Cheong White Coffee Original 12X38G,12 x 38 g,15.90,,,,https://vgg.bites.com.my/collections/beverages/products/aik-cheong-white-coffee-original-12x38g,https://vgg.bites.com.my/collections/beverages
Beverages,Aj Amino Vital Jelly Drink Apple 180Ml,180 ml,9.90,,,,https://vgg.bites.com.my/collections/beverages/products/aj-amino-vital-jelly-drink-apple-180ml,https://vgg.bites.com.my/collections/beverages
Beverages,Aj Amino Vital Jelly Drink Diet Exercise 180Ml,180 ml,9.90,,,,https://vgg.bites.com.my/collections/beverages/products/aj-amino-vital-jelly-drink-diet-exercise-180ml,https://vgg.bites.com.my/collections/beverages
Beverages,Alicafe T/A Genseng 20x20G,20 x 20 g,13.99,15.00,1.01,6.70,https://vgg.bites.com.my/collections/beverages/products/alicafe-t-a-genseng-20sx20g,https://vgg.bites.com.my/collections/beverages
Beverages,Alicafe T/A Ginseng 5In1 Original 30G,30 g,18.69,19.70,1.01,5.10,https://vgg.bites.com.my/collections/beverages/products/alicafe-t-a-ginseng-5in1-original-30g,https://vgg.bites.com.my/collections/beverages
Beverages,Alicafe Tongkat Ali 250Ml,250 ml,2.99,3.55,0.56,15.80,https://vgg.bites.com.my/collections/beverages/products/alicafe-tongkat-ali-250ml,https://vgg.bites.com.my/collections/beverages
Beverages,Almond Koka Chocolate 180Mlx3,180mlx3,11.79,14.00,2.21,15.80,https://vgg.bites.com.my/collections/beverages/products/almond-koka-chocolate-180mlx3,https://vgg.bites.com.my/collections/beverages
Beverages,Almond Koka Chocolate 1L,1 liter,16.19,19.05,2.86,15.00,https://vgg.bites.com.my/collections/beverages/products/almond-koka-chocolate-1l,https://vgg.bites.com.my/collections/beverages
Beverages,Almond Koka Mixed 3 Nuts 1L,1 liter,17.89,20.80,2.91,14.00,https://vgg.bites.com.my/collections/beverages/products/almond-koka-mixed-3-nuts-1l,https://vgg.bites.com.my/collections/beverages
Beverages,Almond Koka Original 1L,1 liter,16.19,19.05,2.86,15.00,https://vgg.bites.com.my/collections/beverages/products/almond-koka-original-1l,https://vgg.bites.com.my/collections/beverages
Beverages,Andros Jelly Juice Apple 90G,90 g,4.90,,,,https://vgg.bites.com.my/collections/beverages/products/andros-jelly-juice-apple-90g,https://vgg.bites.com.my/collections/beverages
Beverages,Andros Jelly Juice Peach 90G,90 g,4.90,,,,https://vgg.bites.com.my/collections/beverages/products/andros-jelly-juice-peach-90g,https://vgg.bites.com.my/collections/beverages
Beverages,Andros Jelly Juice Strawberry 90G,90 g,4.90,,,,https://vgg.bites.com.my/collections/beverages/products/andros-jelly-juice-strawberry-90g,https://vgg.bites.com.my/collections/beverages
Beverages,Andros Jelly Juice Watermelon 90G,90 g,4.90,,,,https://vgg.bites.com.my/collections/beverages/products/andros-jelly-juice-watermelon-90g,https://vgg.bites.com.my/collections/beverages
Beverages,Anlene Cholestopro 800G,800 g,43.50,,,,https://vgg.bites.com.my/collections/beverages/products/anlene-cholestopro-800g,https://vgg.bites.com.my/collections/beverages
Beverages,Arabus Roasted & Ground Coffee Latte 230Ml,230 ml,6.69,7.00,0.31,4.40,https://vgg.bites.com.my/collections/beverages/products/arabus-roasted-ground-coffee-latte-230ml,https://vgg.bites.com.my/collections/beverages
Beverages,Arabus Roasted & Ground Coffee Mocha 230Ml,230 ml,6.69,7.00,0.31,4.40,https://vgg.bites.com.my/collections/beverages/products/arabus-roasted-ground-coffee-mocha-230ml,https://vgg.bites.com.my/collections/beverages
Beverages,Arabus Rstd & Ground Coffee Crml Macchi 230Ml,230 ml,6.69,7.00,0.31,4.40,https://vgg.bites.com.my/collections/beverages/products/arabus-rstd-ground-coffee-crml-macchi-230ml,https://vgg.bites.com.my/collections/beverages
Beverages,Arabus Signature Thai Tea 230Ml,230 ml,6.69,7.00,0.31,4.40,https://vgg.bites.com.my/collections/beverages/products/arabus-signature-thai-tea-230ml,https://vgg.bites.com.my/collections/beverages
