Category,Product,Unit,Price,Slash Price,Savings,Percent savings,Unit Cost,Cost per 100g/ml,Details Link,Start URL
Beverage,Aik Cheong Cafe Art Ice Lemon Tea,400 g,14.99,,,,,3.75,https://myaeon2go.com/product/42576/cafe-art-ice-lemon-tea,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Coffee Mix 3 In 1 Regular,25 x 18 g,9.99,,,,0.40,2.22,https://myaeon2go.com/product/5167/coffee-mix-3-in-1-regular,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong It's Mini Party Pack Box FOC Porcelain Mug,12's,39.99,,,,,,https://myaeon2go.com/product/55712/aik-cheong-it%27s-mini-party-pack-box-foc-porcelain-mug-12%27s,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong It's More Than Just,,5.79,,,,,,https://myaeon2go.com/product/142/it%27s-more-than-just-cappuccino-choco-topping,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong It's More Than Just Cappuccino Choco Topping,35.5 g,5.79,,,,,16.31,https://myaeon2go.com/product/142/it%27s-more-than-just-cappuccino-choco-topping,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong It's More Than Just Chocolate Marshmallow,53 g,5.79,,,,,10.92,https://myaeon2go.com/product/144/it%27s-more-than-just-chocolate-marshmallow,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong It's More Than Just Flat White Extra Shot,41 g,5.79,,,,,14.12,https://myaeon2go.com/product/13294/it%27s-more-than-just-flat-white-extra-shot,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong It's More Than Just Long Black Extra Shot,26 g,5.79,,,,,22.27,https://myaeon2go.com/product/13350/it%27s-more-than-just-long-black-extra-shot,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong It's More Than Just Matcha Latte Nata De Coco,72 g,5.79,,,,,8.04,https://myaeon2go.com/product/143/it%27s-more-than-just-matcha-latte-nata-de-coco,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong It's More Than Just The Tarik Gula Melaka,72 g,5.79,,,,,8.04,https://myaeon2go.com/product/13561/it%27s-more-than-just-the-tarik-gula-melaka,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Kopi O Bag Original,20 x 10 g,9.99,10.99,1.00,9.10,0.50,5.00,https://myaeon2go.com/product/147/kopi-o-bag-original,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Kopi O Bag Strong,12 x 18 g,9.99,10.99,1.00,9.10,0.83,4.62,https://myaeon2go.com/product/146/kopi-o-bag-strong,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Kopi O Bag Sugar Added,20 x 15 g,12.39,13.49,1.10,8.20,0.62,4.13,https://myaeon2go.com/product/145/kopi-o-bag-sugar-added,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Kopi O Hainan (Creamer + Gula),12's x 25 g,9.99,10.99,1.00,9.10,0.83,,https://myaeon2go.com/product/13185/kopi-o-hainan-%28creamer-+-gula%29,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Kopi O Plus,15's x 14 g,9.99,10.99,1.00,9.10,0.67,,https://myaeon2go.com/product/13109/kopi-o-plus,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Teh Tarik,,12.99,14.99,2.00,13.30,,,https://myaeon2go.com/product/865/teh-tarik,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Teh Tarik Cham,12 x 38 g,12.99,14.99,2.00,13.30,1.08,2.85,https://myaeon2go.com/product/866/teh-tarik-cham,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Teh Tarik Halia,12 x 38 g,12.99,14.99,2.00,13.30,1.08,2.85,https://myaeon2go.com/product/867/teh-tarik-halia,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong Teh Tarik Kosong,12 x 25 g,12.99,14.99,2.00,13.30,1.08,4.33,https://myaeon2go.com/product/26382/teh-tarik-kosong,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong White Coffee 3 In 1,,12.99,13.91,0.92,6.60,,,https://myaeon2go.com/product/632/white-coffee-3-in-1-original,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong White Coffee 3 In 1 Less Sweet,12 x 38 g,12.99,13.91,0.92,6.60,1.08,2.85,https://myaeon2go.com/product/633/white-coffee-3-in-1-less-sweet,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong White Coffee 3 In 1 Original,12 x 38 g,12.99,13.91,0.92,6.60,1.08,2.85,https://myaeon2go.com/product/632/white-coffee-3-in-1-original,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Aik Cheong White Coffee Hazelnut,12 x 38 g,12.99,14.99,2.00,13.30,1.08,2.85,https://myaeon2go.com/product/26389/white-coffee-hazelnut,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Alicafe Classic 3In1,20 x 20 g,10.87,,,,0.54,2.72,https://myaeon2go.com/product/13094/classic-3in1,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Alicafe Tag Lebih Pekat,15 x 36 g,18.39,19.56,1.17,6.00,1.23,3.41,https://myaeon2go.com/product/13299/tag-lebih-pekat,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Alicafe Tongkat Ali Karamel,15 x 36 g,18.39,19.56,1.17,6.00,1.23,3.41,https://myaeon2go.com/product/13313/tongkat-ali-karamel,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Alicafe Warung Kopi O,20 x 23 g,16.44,,,,0.82,3.57,https://myaeon2go.com/product/22702/warung-kopi-o,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Alicafe Warung Kopi Putih,28 x 20 g,14.59,15.64,1.05,6.70,0.52,2.61,https://myaeon2go.com/product/21414/warung-kopi-putih,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Alicafe White Coffee,15 x 36 g,14.59,15.64,1.05,6.70,0.97,2.70,https://myaeon2go.com/product/21048/white-coffee,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Anlene CholestoPro,800 g,34.49,43.50,9.01,20.70,,4.31,https://myaeon2go.com/product/55363/anlene-cholestopro-800-g,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Anlene CholestoPro,480 g,22.49,26.80,4.31,16.10,,4.69,https://myaeon2go.com/product/55364/anlene-cholestopro-480-g,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Anlene Gold 5X Cafe Latte,220 g,11.50,,,,,5.23,https://myaeon2go.com/product/36949/gold-5x-cafe-latte,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Anlene Gold 5X Cafe Latte,550 g,26.80,,,,,4.87,https://myaeon2go.com/product/36962/gold-5x-cafe-latte,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Anlene Gold 5X Dark Chocolate,550 g,26.80,,,,,4.87,https://myaeon2go.com/product/36883/gold-5x-dark-chocolate,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Anlene Total 10,800 g,55.99,65.00,9.01,13.90,,7.00,https://myaeon2go.com/product/28779/total-10,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
Beverage,Anmum Essential Gold Step 3,1.65 kg,111.00,122.00,11.00,9.00,,,https://myaeon2go.com/product/52475/anmum-essential-gold-step-3-1.65-kg,https://myaeon2go.com/products/category/4995043/beverage/pages/1-15
